(0, 1),1.109375
(0, 2),2.0681818181818183
(0, 3),1.0149253731343284
(0, 4),1.1774193548387097
(0, 5),1.0454545454545454
(0, 6),1.0769230769230769
(0, 7),1.2131147540983607
(0, 8),1.0454545454545454
(0, 9),1.8125
(0, 10),1.368421052631579
(0, 11),1.0454545454545454
(0, 12),1.0149253731343284
(0, 13),1.1428571428571428
(0, 14),1.1428571428571428
(0, 15),1.1428571428571428
(0, 16),1.1428571428571428
(0, 17),1.368421052631579
(0, 18),1.0454545454545454
(0, 19),1.2131147540983607
(0, 20),1.1428571428571428
(0, 21),1.1428571428571428
(0, 22),1.1428571428571428
(0, 23),1.1774193548387097
(0, 24),1.1428571428571428
(0, 25),1.0769230769230769
(0, 26),1.0454545454545454
(0, 27),1.0769230769230769
(0, 28),1.109375
(0, 29),1.0769230769230769
(0, 30),1.0769230769230769
(0, 31),1.0454545454545454
(0, 32),1.0149253731343284
(0, 33),1.0149253731343284
(0, 34),1.0769230769230769
(0, 35),1.0769230769230769
(0, 36),1.2881355932203389
(0, 37),1.109375
(0, 38),1.109375
(0, 39),1.109375
(0, 40),1.2131147540983607
(0, 41),1.0454545454545454
(0, 42),1.0454545454545454
(0, 43),1.0454545454545454
(0, 44),1.0454545454545454
(0, 45),1.0149253731343284
(0, 46),1.0769230769230769
(0, 47),1.0769230769230769
(0, 48),1.0769230769230769
(0, 49),1.0769230769230769
(0, 50),1.0769230769230769
(0, 51),1.0769230769230769
(0, 52),1.0454545454545454
(0, 53),1.0454545454545454
(0, 54),1.0454545454545454
(0, 55),1.2881355932203389
(0, 56),1.0454545454545454
(0, 57),0.9852941176470589
(0, 58),1.109375
(0, 59),1.1428571428571428
(0, 60),1.0769230769230769
(0, 61),1.0769230769230769
(0, 62),1.0769230769230769
(0, 63),1.0769230769230769
(0, 64),1.0149253731343284
(0, 65),1.0149253731343284
(0, 66),1.109375
(0, 67),1.109375
(0, 68),1.109375
(1, 2),1.3333333333333333
(1, 3),1.25
(1, 4),3.3333333333333335
(1, 5),2.0
(2, 6),1.2272727272727273
(2, 7),1.7222222222222223
(2, 13),1.45
(2, 14),1.45
(2, 15),1.45
(2, 16),1.45
(2, 17),2.5
(2, 25),1.2272727272727273
(2, 26),1.1304347826086956
(2, 32),1.0416666666666667
(2, 43),1.1304347826086956
(2, 44),1.1304347826086956
(2, 42),1.1304347826086956
(2, 9),8.8
(2, 58),1.3333333333333333
(2, 55),2.0625
(2, 62),1.2272727272727273
(2, 36),2.0625
(2, 63),1.2272727272727273
(2, 64),1.0416666666666667
(2, 66),1.3333333333333333
(2, 67),1.3333333333333333
(2, 68),1.3333333333333333
(4, 5),1.6
(4, 8),1.6
(4, 9),1.7333333333333334
(4, 12),1.1666666666666667
(4, 10),2.8333333333333335
(6, 7),2.0
(6, 25),6.0
(7, 25),2.0
(7, 26),1.5
(7, 58),2.75
(7, 55),5.333333333333333
(7, 17),3.6
(8, 9),1.1578947368421053
(9, 10),3.1
(9, 11),1.1578947368421053
(9, 18),1.1578947368421053
(9, 37),1.411764705882353
(9, 38),1.411764705882353
(9, 39),1.411764705882353
(9, 40),1.9285714285714286
(9, 41),1.1578947368421053
(9, 47),1.2777777777777777
(9, 48),1.2777777777777777
(9, 49),1.2777777777777777
(9, 50),1.2777777777777777
(9, 51),1.2777777777777777
(9, 42),1.1578947368421053
(9, 55),2.4166666666666665
(9, 59),1.5625
(9, 61),1.2777777777777777
(10, 11),1.3
(10, 18),1.3
(10, 31),1.3
(10, 19),3.6
(10, 23),2.8333333333333335
(10, 33),1.0909090909090908
(10, 34),1.5555555555555556
(10, 35),1.5555555555555556
(10, 36),6.666666666666667
(13, 14),10.0
(13, 15),10.0
(13, 16),10.0
(13, 17),2.2857142857142856
(14, 15),10.0
(14, 16),10.0
(14, 17),2.2857142857142856
(15, 16),10.0
(15, 17),2.2857142857142856
(16, 17),2.2857142857142856
(17, 55),6.666666666666667
(17, 56),1.3
(17, 58),1.875
(17, 59),2.2857142857142856
(17, 60),1.5555555555555556
(19, 20),4.0
(19, 21),4.0
(19, 22),4.0
(19, 23),6.5
(19, 24),4.0
(19, 31),1.5
(20, 21),10.0
(20, 22),10.0
(20, 23),5.5
(20, 24),10.0
(21, 22),10.0
(21, 23),5.5
(21, 24),10.0
(22, 23),5.5
(22, 24),10.0
(23, 24),5.5
(27, 28),3.5
(27, 29),6.0
(27, 30),6.0
(28, 29),3.5
(28, 30),3.5
(28, 46),3.5
(29, 30),6.0
(34, 35),6.0
(34, 36),1.7142857142857142
(35, 36),1.7142857142857142
(36, 62),1.7142857142857142
(36, 63),1.7142857142857142
(36, 68),2.1666666666666665
(36, 66),2.1666666666666665
(36, 67),2.1666666666666665
(37, 38),8.0
(37, 39),8.0
(37, 40),2.75
(38, 39),8.0
(38, 40),2.75
(39, 40),2.75
(40, 41),1.5
(40, 47),2.0
(40, 48),2.0
(43, 44),4.0
(45, 46),1.3333333333333333
(46, 65),1.3333333333333333
(47, 48),6.0
(49, 50),6.0
(49, 51),6.0
(50, 51),6.0
(52, 53),4.0
(52, 54),4.0
(53, 54),4.0
(55, 56),1.375
(55, 58),2.1666666666666665
(55, 59),2.8
(55, 60),1.7142857142857142
(55, 61),1.7142857142857142
(59, 60),2.6666666666666665
(59, 61),2.6666666666666665
(62, 63),6.0
(66, 67),8.0
(66, 68),8.0
(67, 68),8.0
